time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-06T10:30:00-05:00,6001,6003.75,5997,6000.25,5976.520876736426,6004.282497717259
2025-06-06T10:35:00-05:00,6000.25,6001,5995.75,5998.75,5976.520876736426,6003.7555931727575
2025-06-06T10:40:00-05:00,5998.75,6003,5997.25,6001.25,5976.520876736426,6003.516965251542
2025-06-06T10:45:00-05:00,6001.5,6006,6000,6005.75,5976.520876736426,6003.729635227586
2025-06-06T10:50:00-05:00,6005.75,6008.5,6005.25,6006.25,5976.520876736426,6003.969669967816
2025-06-06T10:55:00-05:00,6006,6007.5,5999.5,6003.25,5976.520876736426,6003.901129970881
2025-06-06T11:00:00-05:00,6003.5,6006,6002.5,6004.75,5976.520876736426,6003.981974735559
2025-06-06T11:05:00-05:00,6004.5,6006.5,6004,6006.25,5976.520876736426,6004.197977141696
2025-06-06T11:10:00-05:00,6006,6010.25,6005.25,6008,5976.520876736426,6004.560074556773
2025-06-06T11:15:00-05:00,6008,6008,6003.5,6004.5,5976.520876736426,6004.554353170413
2025-06-06T11:20:00-05:00,6004.75,6006.25,6000.5,6002.5,5976.520876736426,6004.358700487517
2025-06-06T11:25:00-05:00,6002.75,6003.75,6000.25,6002.25,5978.971269428194,6004.157871869658
2025-06-06T11:30:00-05:00,6002,6005.25,6001.5,6002.75,5978.971269428194,6004.023788834453
2025-06-06T11:35:00-05:00,6003,6003,5998,5998.75,5978.971269428194,6003.521523231171
2025-06-06T11:40:00-05:00,5998.75,6001.25,5991.25,5994.75,5978.971269428194,6002.686140066297
2025-06-06T11:45:00-05:00,5994.5,5998,5992.75,5997,5978.971269428194,6002.144602917127
2025-06-06T11:50:00-05:00,5997.25,5997.75,5989.5,5991,5978.971269428194,6001.083212163115
2025-06-06T11:55:00-05:00,5991,5992.75,5984.5,5992.25,5978.971269428194,6000.241953861866
2025-06-06T12:00:00-05:00,5992.25,5994.25,5990.25,5991.5,5978.971269428194,5999.409386827402
2025-06-06T12:05:00-05:00,5991.25,5992.5,5987.25,5990,5978.971269428194,5998.513254748602
2025-06-06T12:10:00-05:00,5990,5993.5,5987.25,5992.75,5978.971269428194,5997.964373343973
2025-06-06T12:15:00-05:00,5992.5,5998.5,5990.75,5998.25,5978.971269428194,5997.991575882643
2025-06-06T12:20:00-05:00,5998,6002.25,5998,6000,5978.971269428194,5998.18285437001
2025-06-06T12:25:00-05:00,6000.25,6000.5,5997,5998,5980.783529482652,5998.165439668104
2025-06-06T12:30:00-05:00,5998.25,6002,5998.25,6000.25,5980.783529482652,5998.363969223523
2025-06-06T12:35:00-05:00,6000.5,6003,5999,6002.5,5980.783529482652,5998.757876916521
